replicate,treatment,marking,ID,sex,thorax.mm,matings,thorax.oc,prox_strength,notes
prelim,low,.0,A,Male,1.35,0,81,1.038188033,
prelim,low,.1,B,Male,1.33,2,80,0.941948294,
prelim,low,.2,C,Male,1.33,1,80,0.810643244,
prelim,low,.3,D,Male,1.38,0,83,0.862592466,
prelim,low,.4,E,Male,1.37,1,82,0.831191472,
prelim,low,.5,F,Male,1.37,2,82,1.225637981,
prelim,low,.6,G,Male,1.27,1,76,0.943418153,
prelim,low,.7,H,Male,1.32,3,79,1.319359848,
prelim,low,.8,I,Male,1.37,4,82,1.191853298,
prelim,low,.9,J,Male,1.3,1,78,0.580351525,
prelim,low,:0,K,Male,1.37,0,82,0.878457249,
prelim,low,:1,L,Male,1.35,1,81,1.116791409,
prelim,low,0.,M,Female,1.42,0,85,1.209685633,
prelim,low,1.,N,Female,1.47,2,88,0.726936089,
prelim,low,2.,O,Female,1.47,2,88,0.567490835,
prelim,low,3.,P,Female,1.5,1,90,0.563100087,
prelim,low,4.,Q,Female,1.35,0,81,0.850941025,
prelim,low,5.,R,Female,1.47,2,88,0.92722209,
prelim,low,6.,S,Female,1.35,7,81,0.857061405,
prelim,low,7.,T,Female,1.33,0,80,0.583773267,
prelim,low,8.,U,Female,1.4,1,84,1.1257466,
prelim,low,9.,V,Female,1.42,1,85,0.961365704,
prelim,low,0:,W,Female,1.55,0,93,0.562639574,
prelim,low,1:,X,Female,1.5,0,90,1.129593115,
1,low,.0,A,Male,1.34,4,82,0.761205,
1,low,.1,B,Male,1.34,10,82,2.3903992,
1,low,.2,C,Male,1.39,6,85,1.2172355,
1,low,.3,D,Male,1.31,4,80,1.8855856,
1,low,.4,E,Male,1.33,6,81,0.9672227,
1,low,.5,F,Male,1.33,7,81,0.5570656,
1,low,.6,G,Male,1.33,5,81,2.6577383,
1,low,.7,H,Male,1.2,8,73,0.6635124,
1,low,.8,I,Male,1.36,3,83,1.6795592,
1,low,.9,J,Male,1.34,4,82,1.0165311,
1,low,:0,K,Male,1.31,3,80,1.1181646,
1,low,:1,L,Male,1.33,4,81,0.5616361,
1,low,0.,M,Female,1.48,8,90,1.1587519,
1,low,1.,N,Female,1.41,4,86,1.7288265,
1,low,2.,O,Female,1.41,3,86,0.3290788,
1,low,3.,P,Female,1.41,8,86,1.4380216,
1,low,4.,Q,Female,1.39,1,85,,died
1,low,5.,R,Female,1.36,2,83,2.7820808,
1,low,6.,S,Female,1.39,4,85,0.9495939,
1,low,7.,T,Female,1.39,6,85,2.4587119,
1,low,8.,U,Female,1.36,8,83,0.8907616,
1,low,9.,V,Female,1.34,7,82,2.0424964,
1,low,0:,W,Female,1.43,6,87,2.7874709,
1,low,1:,X,Female,1.43,7,87,2.2229259,
2,high,.0,A,Male,1.39,3,85,3.937440661,
2,high,.1,B,Male,1.44,11,88,1.361575109,
2,high,.2,C,Male,1.31,3,80,2.709330344,
2,high,.3,D,Male,1.31,4,80,2.561680027,
2,high,.4,E,Male,1.34,2,82,2.456974246,
2,high,.5,F,Male,1.38,10,84,2.380368415,
2,high,.6,G,Male,1.43,4,87,2.796584529,
2,high,.7,H,Male,1.31,6,80,1.313177986,
2,high,.8,I,Male,1.41,8,86,3.628832063,
2,high,.9,J,Male,1.38,4,84,1.734981836,
2,high,:0,K,Male,1.36,2,83,2.849547422,
2,high,:1,L,Male,1.3,1,79,3.265514352,
2,high,0.,M,Female,1.46,2,89,4.148378888,
2,high,1.,N,Female,1.43,4,87,3.910412165,
2,high,2.,O,Female,1.46,6,89,2.89555383,
2,high,3.,P,Female,1.39,2,85,1.64257942,
2,high,4.,Q,Female,1.44,8,88,2.055376067,
2,high,5.,R,Female,1.41,3,86,4.325145565,
2,high,6.,S,Female,1.41,3,86,2.43563694,
2,high,7.,T,Female,1.34,9,82,2.9760586,
2,high,8.,U,Female,1.51,5,92,3.455349322,
2,high,9.,V,Female,1.46,5,89,3.351934015,
2,high,0:,W,Female,1.49,7,91,4.421511406,
2,high,1:,X,Female,1.41,5,86,2.9588935,
